,16896,15255,16434,19178,18644,16793,16716,18296,17531,18745,9201,17075,16802,17309,17706,16908,19054,16863,17293,16999,16804,16904,18311,18211,19553,18661,18431,16970,18888,19382,17036,19035,17338,18675,17059,15622
2022-04-05T22:00:00-04:00,18.0,2.0,100.0,2.0,38.0,,,,,47.0,11.0,2.0,,5.0,,25.0,,,3.0,,55.0,,,13.0,,48.0,53.0,23.0,,1.0,,11.0,5.0,3.0,5.0,
2022-04-07T21:00:00-04:00,3.0,,47.0,3.0,,7.0,,,11.0,,8.0,4.0,1.0,,,4.0,52.0,11.0,,3.0,28.0,,85.0,8.0,,,,,4.0,,,,1.0,11.0,6.0,14.0
2022-04-07T23:00:00-04:00,2.0,,20.0,3.0,,,3.0,23.0,1.0,,1.0,1.0,1.0,,3.0,1.0,,,1.0,1.0,,,,3.0,,,,24.0,,,,,1.0,,1.0,1.0
2022-04-09T16:00:00-04:00,6.0,,,22.0,3.0,,,,20.0,,3.0,,,,,,,21.0,9.0,8.0,,,,,,,,,,,,,,,1.0,
2022-04-09T19:00:00-04:00,12.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,218.0,,,,,,,,2.0,,
2022-04-10T14:00:00-04:00,7.0,,,,,,,,,,,,,,,,,12.0,5.0,,,,,,,,,,,14.0,,,,,,
2022-04-10T20:00:00-04:00,3.0,,,,,,7.0,,,,,2.0,,12.0,9.0,6.0,50.0,,7.0,,12.0,,,,,,,,,,,,,,,
2022-04-11T13:00:00-04:00,2.0,,62.0,,,,,,,95.0,,,,,,,3.0,,,16.0,2.0,,,,23.0,,,,,,,,8.0,,,
2022-04-11T21:00:00-04:00,22.0,,,,,,,,,,,,23.0,,,,,,2.0,21.0,,,,,,,,,,,18.0,,,,,
2022-04-11T22:00:00-04:00,31.0,,,,,7.0,,,,,,,3.0,,,,,,,42.0,,,,,,,,,,,13.0,,,,,
2022-04-11T23:00:00-04:00,58.0,,,,,,21.0,,,,,,2.0,4.0,,,,,,4.0,,,,,,,,,,,16.0,,,,6.0,
2022-04-12T22:00:00-04:00,3.0,9.0,26.0,,,6.0,,,,,7.0,,3.0,28.0,,11.0,,,27.0,,,39.0,4.0,33.0,,,,2.0,,5.0,,32.0,10.0,15.0,,
2022-04-14T21:00:00-04:00,3.0,2.0,,1.0,,1.0,,,6.0,,,,,,,,12.0,25.0,67.0,1.0,2.0,3.0,64.0,,,,18.0,1.0,,,,,28.0,,4.0,9.0
2022-04-16T01:00:00-04:00,8.0,,,,,,8.0,,,,,43.0,,,,,,,12.0,,,,,3.0,,,,,,,3.0,,,,,
2022-04-16T15:00:00-04:00,40.0,,,4.0,5.0,,3.0,,,,,,,,,,,11.0,5.0,,,,,,,,,,,4.0,,,,,,1.0
2022-04-16T16:00:00-04:00,55.0,,,6.0,,9.0,,,,,,,,,,,,94.0,1.0,,,,,,,,,,,9.0,,,,,4.0,9.0
2022-04-17T21:00:00-04:00,49.0,,,,,,12.0,,,,,,31.0,54.0,,,,4.0,,,,,,6.0,,,,,,,20.0,,4.0,,,
